base, h1err, cond, eff, h1estmax
1, 0.27204439395, 1.0, 4.467015028, 0.0098763636206
2, 0.267720628304, 1.8203186759, 4.60049796104, 0.0132642462201
3, 0.225147904549, 1.96986256791, 4.39584684372, 0.0136911957523
4, 0.232027731283, 2.70546514599, 4.85039997101, 0.0269844374588
5, 0.205421991333, 2.80909671213, 4.98684501648, 0.0185002329555
6, 0.168012363526, 3.24482023595, 4.81020998955, 0.0199732287953
7, 0.126900880178, 2.32661474298, 4.66358685493, 0.01131954849
8, 0.164951034851, 3.57900471346, 4.63462901115, 0.0149753749473
9, 0.100541910403, 4.28724732783, 4.92296004295, 0.0160918332321
10, 0.138259763713, 5.19447135758, 4.98220205307, 0.0141545909726
11, 0.124440410438, 4.3203389259, 4.87465786934, 0.0155880110995
12, 0.0701571762594, 6.60119158512, 4.79912185669, 0.0133748969581
13, 0.0437788926592, 5.18565979033, 4.7862238884, 0.00802726469299
14, 0.0486329145386, 7.53811753079, 5.16457414627, 0.0138316782401
15, 0.0159964449122, 5.89639604377, 5.123254776, 0.0105997494724
16, 0.0172509346874, 7.10843583523, 5.10348010063, 0.00986616203385
17, 0.0133622626001, 8.78088419471, 5.17782211304, 0.00994624079716
18, 0.0113315519676, 4.90188045313, 4.8653459549, 0.00588125536371
19, 0.0139140614564, 9.72057780026, 4.80229997635, 0.00800772309513
20, 0.0119527730753, 9.12193820632, 4.60044407845, 0.00654260918577
21, 0.0108198048641, 7.56614899818, 4.61069703102, 0.0057118955972
22, 0.012881367092, 7.6137544526, 4.64588403702, 0.00652762982117
23, 0.0134482185284, 8.72050752318, 4.74053692818, 0.00569894613638
24, 0.0123824133172, 4.76501006692, 4.53701305389, 0.00384654893373
25, 0.005641969255, 8.83056922496, 4.58744001389, 0.00351391881335
26, 0.006807628221, 8.47197420299, 4.7619497776, 0.0022693746445
27, 0.0054941607721, 7.02101320816, 5.28485178947, 0.00296648529266
28, 0.00579091940924, 6.93438393353, 5.01792097092, 0.0028615121312
29, 0.00321868966079, 7.2082465974, 5.06906199455, 0.00260007314219
30, 0.00439126109574, 5.6526558716, 4.93640208244, 0.00175291766041
31, 0.00323920906211, 6.8896056397, 4.95483207703, 0.00148216155992
32, 0.00197368087542, 9.11306851085, 4.74526691437, 0.00121796582536
33, 0.00318026421272, 7.56969334225, 4.63418102264, 0.00104121959947
34, 0.00237923077505, 9.83012501793, 4.67750406265, 0.00130055423442
