base, h1err, cond, eff, h1estmax
1, 0.218087867935, 1.0, 4.45309114456, 0.0183094761142
2, 0.172644206353, 2.2920168126, 4.34731817245, 0.0179401524966
3, 0.22351249953, 2.32694811833, 4.32649993896, 0.0253181455534
4, 0.158602357601, 5.3492680813, 4.42859005928, 0.0218421581828
5, 0.108269451701, 4.43594434691, 4.3579750061, 0.0253754015444
6, 0.0993120766888, 4.88406772663, 4.3344180584, 0.013294550594
7, 0.0727134153013, 3.39252022971, 4.32130217552, 0.00924751198033
8, 0.0919177274822, 2.97544420077, 4.40677189827, 0.0246407598708
9, 0.0469048598186, 4.7286934547, 4.47782492638, 0.0124805841988
10, 0.0714171507141, 5.67363102972, 4.82330608368, 0.0133755208619
11, 0.0339593215791, 6.57668218747, 5.05414581299, 0.0146006944876
