base, h1err, cond, eff, h1estmax
1, 0.213705618713, 1.0, 4.53204798698, 0.0183589259571
2, 0.190080136601, 2.09350353917, 4.56672906876, 0.01581934588
3, 0.157098566493, 3.21955319206, 4.45934009552, 0.0116206854401
4, 0.183034934731, 4.02175152181, 4.47964191437, 0.0157377169871
5, 0.0628551988124, 2.9005350445, 4.51030087471, 0.0103590919009
6, 0.0988036858562, 6.36505044029, 4.52862000465, 0.0151704989018
7, 0.0102992025221, 7.54805835057, 4.47571802139, 0.00156578455693
8, 0.00319078639649, 8.39353440001, 4.49364590645, 0.000943790179231
9, 0.00431458947989, 6.93490004742, 4.57719707489, 0.000779422438865
10, 0.00026785364419, 4.64629490402, 4.48021793365, 6.92145587964e-05
11, 5.50658122276e-05, 4.28792959828, 4.63824295998, 1.75454695866e-05
12, 1.66502352906e-05, 6.42190833952, 4.62021708488, 4.93833905501e-06
13, 1.21211084957e-06, 4.73321144662, 4.55669498444, 4.58226787286e-07
14, 2.27558863733e-06, 6.74600811773, 4.63741207123, 5.62679792734e-07
15, 2.16280167442e-08, 8.71408928755, 4.7273311615, 0.0
16, 1.33234083327e-08, 6.73657018032, 4.53664898872, 1.02575189427e-09
17, 9.4355389367e-09, 6.98930061809, 4.57964611053, 8.13384373249e-10
18, 1.14040543321e-08, 7.44004041518, 4.56062102318, 2.67254817087e-09
19, 1.21093012694e-08, 4.76726366128, 4.56245112419, 0.0
20, 8.60191413774e-09, 8.11378946735, 4.60621190071, 0.0
21, 1.25194767735e-08, 5.36969159773, 4.62250781059, 0.0
22, 1.19218961463e-08, 6.20335142049, 4.65303301811, 0.0
23, 2.22249439491e-08, 5.30327580108, 4.65204906464, 2.12175649736e-09
24, 8.17307746901e-09, 5.79768834417, 4.62830400467, 0.0
25, 5.58869786506e-09, 8.90478069928, 4.64802503586, 0.0
26, 4.72802004686e-09, 3.68135578997, 4.60610389709, 0.0
27, 5.6532958922e-09, 4.96280516326, 4.67058110237, 0.0
28, 1.60566416305e-08, 9.79712429715, 4.58785390854, 1.65960583993e-09
29, 2.23110711598e-08, 8.3829758855, 4.61132502556, 5.89765370401e-09
30, 1.61816719835e-08, 7.38089543897, 4.61346387863, 2.73714991905e-09
31, 2.08806661941e-08, 7.86248695687, 4.65456295013, 3.21932832612e-09
32, 1.60722096839e-08, 4.87514759329, 4.64977383614, 4.46748842743e-09
33, 1.64744097305e-08, 7.71470704271, 4.7709980011, 0.0
34, 1.55441949409e-08, 6.85295972361, 4.57836484909, 3.84193166361e-09
