base, h1err, cond, eff, h1estmax
1, 0.279215511181, 1.0, 0.0152950286865, 0.00570780112272
2, 0.318054311797, 1.5863722617, 0.0172588825226, 0.0137921653233
3, 0.262894393923, 2.41631887153, 0.0172049999237, 0.0210225297575
4, 0.236637923523, 3.03102159292, 0.0176510810852, 0.0216038175059
5, 0.109929908291, 2.30231694271, 0.0179080963135, 0.0172329245905
6, 0.25009006968, 5.55367846885, 0.0185000896454, 0.0234415707509
7, 0.135173576988, 4.18644580013, 0.0190269947052, 0.0155082282762
8, 0.0505911910007, 7.62704009115, 0.0192430019379, 0.017778589522
9, 0.0273627146009, 6.83375280359, 0.0226109027863, 0.00814268397327
10, 0.0068192465483, 4.64378155565, 0.0194249153137, 0.00275074948461
11, 0.00776460833542, 4.28680039341, 0.0206360816956, 0.00239842575412
12, 0.000593397920313, 6.42185486399, 0.0213429927826, 0.000249133537713
13, 0.000361912564352, 4.73318339889, 0.0216629505157, 0.000184516596941
14, 0.000491645815921, 6.74596738298, 0.0218591690063, 0.00021321691231
15, 0.00109045301147, 8.71399948398, 0.0220499038696, 0.00043892263465
16, 0.00040623516405, 6.73652169632, 3.92471289635, 0.000185779171164
17, 0.000560286570505, 6.9892490669, 3.92482590675, 0.000240613366838
18, 0.00104141844398, 7.43999103741, 3.93677902222, 0.000230124100387
19, 0.000264793955278, 4.76723486935, 3.97261691093, 0.000119638704638
20, 0.000761273797812, 8.11369688446, 3.95535492897, 0.000208466492767
21, 0.000691983131841, 5.36966617756, 3.93013000488, 0.000146758814945
22, 0.000326230926613, 6.20330558537, 4.01087617874, 0.000160944505578
23, 0.000432406433829, 5.30323378094, 4.15877795219, 0.000141984284347
24, 0.000494804491248, 5.79765488005, 4.22375917435, 0.000181303954166
25, 0.00102650770488, 8.9046939053, 4.48521900177, 0.000350676322579
26, 0.00019009651446, 3.68133993429, 4.43590307236, 0.000105237610132
27, 0.000153915900148, 4.96278242512, 4.41716599464, 8.43022118728e-05
28, 0.00159369434282, 9.79701274533, 4.35776185989, 0.000577646855918
29, 0.00127729525826, 8.38289365682, 4.38628387451, 0.000395884422406
30, 0.00122666909418, 7.38084222315, 4.40796399117, 0.000341740726965
31, 0.000685370553133, 7.86243316485, 4.48009896278, 0.000222646784053
32, 0.000259035383832, 4.87511585652, 4.42294216156, 0.000113234745428
33, 0.00114285272626, 7.71466385199, 4.55614495277, 0.000327518266286
34, 0.000670791389125, 6.85290015632, 4.43805909157, 0.00031146676201
